,Date,Nikkei,Nikkei_Returns,Nikkei_20-day_Vol,Nikkei_50-day_Vol,Nikkei_100-day_Vol,Nikkei_21-day_MA,Nikkei_55-day_MA,Nikkei_100-day_MA
15353,2010-12-22,10346.48,-0.0023217646565448177,13.177051781721048,16.53737450564733,19.143657022582296,10193.086666666679,9808.792727272728,9589.567999999976
15354,2010-12-24,10279.19,-0.006524902098742222,13.414375523309694,15.833225345401521,19.149426104140563,10204.94761904763,9825.122363636363,9595.399699999974
15355,2010-12-27,10355.99,0.007443633116724557,13.464265977916106,15.882986056895632,18.983129219478855,10218.10142857144,9840.344727272726,9603.586599999973
15356,2010-12-28,10292.63,-0.0061369911266438626,13.460407195660427,15.486752590598954,19.01105189831749,10230.152380952393,9851.275636363634,9610.809799999974
15357,2010-12-29,10344.54,0.005030739144911779,11.37104893084649,15.329334745182438,18.92405267709393,10240.559523809536,9863.270727272726,9617.315099999973
15358,2010-12-30,10228.92,-0.011239841740371858,12.223671582747988,15.596966117407066,18.6966196009798,10254.458571428584,9874.907818181817,9624.710899999975
15359,2011-01-04,10398.1,0.016404094606434178,11.953174383099954,15.946768874364423,18.67895321008825,10273.984761904776,9893.261636363635,9632.152699999973
15360,2011-01-05,10380.77,-0.0016680410453689463,11.9948237653283,15.408346346639107,18.680317878447045,10284.091904761919,9911.029999999999,9639.539199999974
15361,2011-01-06,10529.76,0.014250477759356716,12.857365742804157,15.639444987481419,18.758077300923368,10300.827142857157,9928.234545454543,9649.111899999974
15362,2011-01-07,10541.04,0.0010706761088869045,12.758392495284939,15.62694028661124,18.75078105850182,10318.627619047633,9947.158,9659.011799999973
15363,2011-01-11,10510.68,-0.0028843268909079134,12.585810232287606,15.62977744723448,18.21409869674313,10336.22666666668,9965.561454545455,9671.190099999974
15364,2011-01-12,10512.8,0.00020167926596216794,12.507581942483526,15.598542957776163,18.145302692741964,10349.582380952394,9983.258727272729,9684.192199999976
15365,2011-01-13,10589.76,0.007293934119698323,12.28761691532918,15.63534661490549,18.163413047052828,10364.05285714287,10005.225272727275,9697.555199999975
15366,2011-01-14,10499.04,-0.008603672054786899,12.58891143590837,15.796907320601756,18.193196675676525,10377.723809523823,10025.635454545458,9710.578899999975
15367,2011-01-17,10502.86,0.000363776614699177,12.582587797858405,15.141100613823882,18.174923262176048,10387.674761904775,10045.201818181822,9723.990699999975
15368,2011-01-18,10518.98,0.0015336434070094122,12.569740233125767,15.036069918658903,18.13848831247049,10397.303809523824,10065.52581818182,9736.775099999975
15369,2011-01-19,10557.1,0.003617374916772872,12.597730360995065,15.028171650185854,18.04254185083406,10409.080952380968,10086.975272727275,9748.719299999973
15370,2011-01-20,10437.31,-0.011411732932211963,13.3554074195724,14.728656349318497,17.846757212350926,10415.081904761919,10106.071272727275,9761.298599999975
15371,2011-01-21,10274.52,-0.01571984245583581,14.213610155495223,13.986488839420783,18.00260156488067,10413.686190476205,10122.589272727275,9772.876899999976
15372,2011-01-24,10345.11,0.006846900334452684,13.355044435652152,13.866150280747618,17.870940328882494,10419.814761904776,10143.364909090913,9786.376599999974
15373,2011-01-25,10464.42,0.011466987226940454,13.940592795221862,14.002106198923997,17.703156148036246,10424.28571428573,10167.177636363642,9802.566899999974
15374,2011-01-26,10401.9,-0.005992449755217423,13.906036528847304,13.805193464601146,17.72561719749013,10426.924761904776,10189.758000000005,9817.521099999976
15375,2011-01-27,10478.66,0.007352326353545864,13.9000714252642,13.868952491654928,17.704830360592926,10436.423333333349,10210.11945454546,9832.397099999975
15376,2011-01-28,10360.34,-0.011355753296718483,14.34706540363372,13.736542819720315,17.63398526607383,10436.63047619049,10223.471272727278,9844.507899999975
15377,2011-01-31,10237.92,-0.011886580846954377,14.857254494932134,13.87886054049666,16.752115370753913,10434.025238095253,10232.653090909096,9858.646499999975
15378,2011-02-01,10274.5,0.0035666234191029282,14.362562534024704,13.861966972367611,16.676682846256906,10430.690000000015,10243.198727272733,9872.121299999975
15379,2011-02-02,10457.36,0.01764093932589689,14.557301128913483,14.366523541978024,16.73584106918138,10441.56809523811,10254.595818181822,9886.066499999975
15380,2011-02-03,10431.36,-0.002489383114608604,14.575064110038632,13.692972633949847,16.734105185080043,10443.15190476192,10264.95763636364,9899.238799999974
15381,2011-02-04,10543.52,0.010694799594362637,14.1643595124301,13.872117612655119,16.52003633713268,10450.90190476192,10279.843272727278,9911.660799999976
15382,2011-02-07,10592.04,0.004591322419128086,14.25154083394806,13.769425779660033,16.45888483808466,10453.867619047634,10293.743818181823,9925.321199999975
15383,2011-02-08,10635.98,0.004139817350270516,14.263228492757863,13.617752527078263,16.035387462642483,10458.388571428586,10308.996181818187,9941.434999999976
15384,2011-02-09,10617.83,-0.0017079294876539302,14.286910220822469,13.605714766157204,16.010426425391845,10463.490952380967,10323.653818181821,9956.629399999974
15385,2011-02-10,10605.65,-0.0011477855033361914,14.06805427557694,13.566216505506018,15.8604207905046,10467.912380952397,10334.417818181822,9970.294199999975
15386,2011-02-14,10725.54,0.011240935215081752,14.209671775083809,13.655801835820537,15.893259151600764,10474.378095238111,10347.202363636368,9984.331399999975
15387,2011-02-15,10746.67,0.001968125947037692,14.209986042758583,12.876967334218554,15.881333944312992,10486.170000000016,10358.683818181824,9998.804999999975
15388,2011-02-16,10808.29,0.0057174931302735555,14.301528165934116,12.886144683433681,15.50565776205357,10500.714285714303,10372.832545454552,10011.722299999976
